re,gara ten hkan hpaw ai re  tsun dan rit
UnavailableWord,SentenceIn
hkan,gara ten hkan hpaw ai re  tsun dan rit
UnavailableWord,SentenceIn
re,gara ten hkan hpaw ai re  tsun dan rit
UnavailableWord,SentenceIn
hkan,gara ten hkan hpaw ai re  tsun dan rit
UnavailableWord,SentenceIn
re,gara ten hkan hpaw ai re  tsun dan rit
UnavailableWord,SentenceIn
hkan,gara ten hkan hpaw ai re  tsun dan rit
UnavailableWord,SentenceIn
re,gara ten hkan hpaw ai re  tsun dan rit
UnavailableWord,SentenceIn
hkying,hkying gade kaw hpaw ai rai
UnavailableWord,SentenceIn
hkan,gara ten hkan hpaw ai re  tsun dan rit
UnavailableWord,SentenceIn
re,gara ten hkan hpaw ai re  tsun dan rit
UnavailableWord,SentenceIn
hkan,gara ten hkan hpaw ai re  tsun dan rit
UnavailableWord,SentenceIn
re,gara ten hkan hpaw ai re  tsun dan rit
UnavailableWord,SentenceIn
a,a ten gade hkan hpaw ai rai
UnavailableWord,SentenceIn
hkan,a ten gade hkan hpaw ai rai
UnavailableWord,SentenceIn
7eleven,7eleven  tsun dan rit
UnavailableWord,SentenceIn
sumlut,sumlut tang gun seng a lam tsun dan rit
UnavailableWord,SentenceIn
tang,sumlut tang gun seng a lam tsun dan rit
UnavailableWord,SentenceIn
gun,sumlut tang gun seng a lam tsun dan rit
UnavailableWord,SentenceIn
a,sumlut tang gun seng a lam tsun dan rit
UnavailableWord,SentenceIn
7eleven,7eleven a lam tsun dan rit
UnavailableWord,SentenceIn
a,7eleven a lam tsun dan rit
UnavailableWord,SentenceIn
a,seng a lam tsun dan rit
UnavailableWord,SentenceIn
ok,ok
UnavailableWord,SentenceIn
jinghpaw,hpa baw jinghpaw seng ni nga ai rai
UnavailableWord,SentenceIn
ban,ban mai kaw nga ai seng ni  madun rit
UnavailableWord,SentenceIn
sumlut,sumlut yawng seng nga  tsun dan rit
UnavailableWord,SentenceIn
yawng,sumlut yawng seng nga  tsun dan rit
UnavailableWord,SentenceIn
pha,pha deng resort kaw hpa baw ni nga ai rai
UnavailableWord,SentenceIn
deng,pha deng resort kaw hpa baw ni nga ai rai
UnavailableWord,SentenceIn
resort,pha deng resort kaw hpa baw ni nga ai rai
UnavailableWord,SentenceIn
pha,pha deng resort kaw hpa baw ni nga ai rai
UnavailableWord,SentenceIn
deng,pha deng resort kaw hpa baw ni nga ai rai
UnavailableWord,SentenceIn
resort,pha deng resort kaw hpa baw ni nga ai rai
UnavailableWord,SentenceIn
pha,pha deng resort kaw hpa baw ni nga ai rai
UnavailableWord,SentenceIn
deng,pha deng resort kaw hpa baw ni nga ai rai
UnavailableWord,SentenceIn
resort,pha deng resort kaw hpa baw ni nga ai rai
UnavailableWord,SentenceIn
pha,pha deng resort kaw hpa baw ni nga ai rai
UnavailableWord,SentenceIn
deng,pha deng resort kaw hpa baw ni nga ai rai
UnavailableWord,SentenceIn
resort,pha deng resort kaw hpa baw ni nga ai rai
UnavailableWord,SentenceIn
pha,pha deng resort kaw hpa baw ni nga ai rai
UnavailableWord,SentenceIn
deng,pha deng resort kaw hpa baw ni nga ai rai
UnavailableWord,SentenceIn
resort,pha deng resort kaw hpa baw ni nga ai rai
UnavailableWord,SentenceIn
pha,pha deng resort kaw hpa baw ni nga ai rai
UnavailableWord,SentenceIn
deng,pha deng resort kaw hpa baw ni nga ai rai
UnavailableWord,SentenceIn
resort,pha deng resort kaw hpa baw ni nga ai rai
UnavailableWord,SentenceIn
pha,pha deng resort kaw hpa baw ni nga ai rai
UnavailableWord,SentenceIn
deng,pha deng resort kaw hpa baw ni nga ai rai
UnavailableWord,SentenceIn
resort,pha deng resort kaw hpa baw ni nga ai rai
